Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist
835,0.000997,0.787,484853,0.916,0.811,0,0.0588,-8.542,0,0.047,116.007,4.0,0.507,1,I Got a Feeling,Shit Robot
959,0.0173,0.916,183695,0.571,1.11e-06,10,0.153,-8.241,0,0.2,103.521,4.0,0.467,1,For Free,DJ Khaled
411,0.0129,0.401,592920,0.661,7.72e-05,5,0.791,-6.111,0,0.0462,107.998,4.0,0.173,1,Pyramids,Frank Ocean
666,0.114,0.725,251333,0.661,0.0,7,0.291,-3.903,1,0.131,127.82,4.0,0.432,1,I Wanna Be With You,DJ Khaled
1234,0.648,0.322,228067,0.508,0.00297,7,0.152,-7.681,1,0.0341,155.128,4.0,0.191,0,Nowhere,Sarah Reeves
1613,0.141,0.48,179893,0.878,0.0,6,0.0587,-6.59,0,0.0743,136.006,4.0,0.19,0,Waiting,Dash Berlin
104,0.00705,0.763,213375,0.773,0.032,0,0.772,-4.722,1,0.0533,130.025,4.0,0.347,1,Maneuvering,ILoveMakonnen
1442,0.0771,0.466,224212,0.849,2.89e-06,9,0.104,-3.85,0,0.0633,183.76,4.0,0.353,0,On Our Own (feat. Natalie Major),Showtek
1415,0.0242,0.589,223973,0.658,0.0,11,0.118,-5.288,0,0.203,77.521,4.0,0.254,0,All Eyes On You (feat. Chris Brown & Nicki Minaj),Meek Mill
729,0.000195,0.122,377177,0.913,0.713,11,0.269,-5.815,0,0.0499,185.906,4.0,0.0957,1,Bumpy Road,Destruction Unit
744,0.514,0.529,178507,0.645,0.00821,7,0.113,-8.158,1,0.0265,112.575,4.0,0.464,1,San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version,Scott McKenzie
85,0.0192,0.619,275533,0.734,0.263,5,0.0771,-9.366,0,0.0343,106.034,4.0,0.853,1,I'm In Love,Fool's Gold
784,0.713,0.628,303560,0.575,0.00233,10,0.0635,-11.591,0,0.0588,108.166,4.0,0.182,1,Running Up That Hill (A Deal With God),Kate Bush
1347,1.69e-05,0.329,135653,0.993,0.641,6,0.342,-3.416,1,0.0969,116.461,4.0,0.372,0,Unanswered,Suicide Silence
1326,0.00125,0.217,255725,0.98,0.00139,5,0.287,-3.332,1,0.133,139.024,4.0,0.0658,0,Plagues,The End At The Beginning
1663,0.00281,0.608,219398,0.878,4.83e-06,0,0.415,-3.631,1,0.0765,128.069,4.0,0.326,0,Falling Back - Radio Edit,Cosmic Gate
1127,0.051,0.712,214072,0.901,0.0,1,0.162,-4.699,0,0.0595,97.98,4.0,0.84,0,Al Filo de Tu Amor,Carlos Vives
2003,0.000461,0.562,201031,0.96,0.0383,9,0.716,-2.981,1,0.0692,159.927,4.0,0.311,0,Hold Up,Borgeous
509,0.00909,0.694,337187,0.716,0.000814,7,0.0772,-7.468,1,0.0513,121.427,4.0,0.896,1,Der Kommissar,After The Fire
1191,0.00622,0.75,203867,0.78,0.0,4,0.0263,-3.155,1,0.0898,119.985,4.0,0.819,0,Dynamite,Taio Cruz
1854,0.259,0.534,249813,0.642,0.0,9,0.29,-3.971,1,0.0504,92.963,4.0,0.139,0,Secret Love Song,Little Mix
1734,0.0198,0.571,199640,0.87,6.6e-06,8,0.0564,-3.877,0,0.0641,172.716,4.0,0.815,0,Bye Bye Bye,*NSYNC
381,0.038,0.728,176675,0.62,0.0,2,0.342,-7.533,1,0.0434,81.998,4.0,0.904,1,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
883,0.198,0.89,326318,0.52,0.273,2,0.0638,-6.927,0,0.187,114.959,4.0,0.717,1,Something About You - Extended Mix,Hayden James
346,0.000141,0.688,324437,0.587,0.92,2,0.0421,-8.521,1,0.046,125.012,4.0,0.757,1,Bloom - Lane 8 Remix,ODESZA
1880,9.24e-05,0.547,239227,0.693,5.46e-05,0,0.113,-8.786,1,0.0353,119.567,4.0,0.581,0,Save Tonight,Eagle-Eye Cherry
1865,0.323,0.661,186492,0.544,0.0222,7,0.0871,-11.193,1,0.0304,139.012,4.0,0.307,0,Like Home,Colin & Caroline
843,0.236,0.347,150627,0.638,0.0,2,0.0894,-10.258,1,0.0409,94.506,4.0,0.594,1,For Your Love,The Yardbirds
1052,0.424,0.55,232253,0.774,0.0,11,0.067,-4.397,1,0.0967,170.124,4.0,0.462,0,Act Like You Don't,Brooke Eden
797,0.0326,0.598,228707,0.885,0.00265,8,0.107,-3.992,0,0.0383,87.914,4.0,0.593,1,DLZ,TV On The Radio
216,0.105,0.901,212712,0.744,7.79e-06,0,0.0964,-3.484,1,0.283,135.95,4.0,0.606,1,Hannah Montana,Migos
1002,0.102,0.699,197452,0.724,0.0,1,0.0865,-5.126,1,0.223,140.157,4.0,0.412,1,Mr Skeng,Stormzy
1910,0.0028,0.686,211000,0.915,7.16e-06,7,0.233,-4.447,1,0.0364,110.054,4.0,0.784,0,Tearin' up My Heart - Radio Edit,*NSYNC
181,0.0315,0.628,308527,0.824,0.543,0,0.0999,-7.983,1,0.112,122.01,4.0,0.86,1,When A Fire Starts To Burn - Midland Remix,Disclosure
904,0.411,0.757,199200,0.868,0.00221,9,0.355,-9.326,1,0.062,138.923,4.0,0.787,1,Long Cool Woman (In A Black Dress) - 1999 Remastered Version,The Hollies
1626,0.00136,0.526,322227,0.861,0.732,2,0.596,-5.871,0,0.0587,128.032,4.0,0.114,0,Fire In Your New Shoes (feat. Martina of Dragonette) - Sultan & Ned Shepard Electric Daisy Remix,Kaskade
200,0.0516,0.718,224267,0.921,0.0473,5,0.315,-3.978,0,0.0375,121.922,4.0,0.898,1,When The Night Falls - feat. Solange Knowles,Chromeo
336,2.84e-06,0.305,97560,0.827,0.00245,5,0.335,-5.789,1,0.147,159.882,4.0,0.463,1,Time-Out,Terror Train
891,0.0664,0.643,335399,0.889,0.884,3,0.0904,-7.043,0,0.0499,131.999,4.0,0.658,1,You,Ejeca
761,0.858,0.741,227627,0.449,0.000522,5,0.133,-6.621,1,0.0583,95.108,4.0,0.444,1,Outlines,AlunaGeorge
999,0.0313,0.515,238419,0.902,0.0,6,0.093,-4.729,0,0.383,174.589,5.0,0.617,1,Big For Your Boots,Stormzy
962,0.661,0.457,176613,0.909,1.54e-06,7,0.124,-3.189,1,0.0576,93.193,4.0,0.844,1,"Bold Soul Sister, Bold Soul Brother - USDEA0400901",The Black On White Affair
501,0.232,0.612,212944,0.725,0.011,6,0.395,-5.775,0,0.0966,195.972,4.0,0.153,1,Obedear,Purity Ring
1180,0.131,0.748,188491,0.627,0.0,7,0.0852,-6.029,1,0.0644,120.963,4.0,0.513,0,Still Got Time,ZAYN
165,0.489,0.594,235693,0.42,0.00452,4,0.0833,-8.467,0,0.031,140.04,4.0,0.311,1,Magnolia,Young & Sick
1698,0.0197,0.593,194893,0.814,0.0,9,0.18,-4.802,1,0.166,146.919,4.0,0.47,0,Faster than Boyz,Victorious Cast
1457,0.108,0.641,302506,0.676,0.0,9,0.152,-4.461,1,0.0385,119.108,4.0,0.174,0,Light - GOSLO Remix,San Holo
1642,0.00233,0.672,295035,0.785,0.127,8,0.111,-4.473,1,0.0346,122.999,4.0,0.352,0,Counting Down The Days - Yotto Edit,Above & Beyond
1138,0.00593,0.608,187761,0.841,0.0573,0,0.121,-3.798,1,0.0464,167.969,4.0,0.25,0,Thunder,Imagine Dragons
